Timestamp,Station,Latitude,Longitude,TEC,foF2,hmF2,scaleF2,B0,B1,zhalfNm,yF2,FF,QF,F10.7,Kp,Ap,Dst,SSN,DayOfYear,LocalTime,TopsideTEC,Hour,Month,Season,LocalTime_sin,LocalTime_cos,DayOfYear_sin,DayOfYear_cos,Month_sin,Month_cos,TEC_diff1,TEC_gradient,TEC_lag1,TEC_lag2,TEC_lag3,TEC_roll_mean_3,TEC_roll_mean_6,TEC_roll_mean_12,TEC_roll_std_3,TEC_roll_std_6,TEC_roll_std_12
2020-01-01 00:00:00,DB049,-0.777597,0.000000,-0.583297,0.000000,-0.087873,-0.449571,0.665594,0.720698,-0.207605,0.666116,0.118201,0,-0.932356,0.000000,-0.227848,0.668342,-0.390244,-1.000000,-0.863219,-0.186361,0.000000,1.000000,0.000000,-0.224071,0.974573,-0.017202,0.999852,0.500000,0.866025,,-0.082413,,,,-0.583297,,,,,
2020-01-01 00:00:00,EG931,0.000000,0.297297,-0.253089,0.000000,-0.046835,0.242608,0.944802,-0.356608,0.060680,0.945109,-0.151327,3,-1.290358,0.000000,-0.050633,-0.040201,-0.965854,-1.000000,-0.832520,-0.298689,0.000000,1.000000,0.000000,-0.216232,0.976342,-0.017202,0.999852,0.500000,0.866025,,-0.657502,,,,-0.253089,,,,,
2020-01-01 00:00:00,JR055,0.222403,-0.702703,-0.658786,0.447619,0.371089,0.085002,-0.737376,-0.506234,0.554981,-0.737928,-0.670807,0,-1.424817,-0.062500,-0.050633,0.507538,-0.834146,-1.000000,-0.935796,-0.262679,0.000000,1.000000,0.000000,-0.242548,0.970140,-0.017202,0.999852,0.500000,0.866025,,-0.043630,,,,-0.658786,,,,,
2020-01-01 00:15:00,DB049,-0.777597,0.000000,-0.665710,0.085714,0.072046,-0.094540,-0.873515,0.294264,0.154077,-0.873298,-0.015810,0,-0.859317,-0.500000,-0.202532,-0.110553,-0.980488,-1.000000,-0.842284,-0.375957,0.000000,1.000000,0.000000,-0.218727,0.975786,-0.017202,0.999852,0.500000,0.866025,-0.082413,0.117742,-0.583297,,,-0.624503,,,0.058275,,
2020-01-01 00:15:00,EG931,0.000000,0.297297,-0.910592,0.000000,-0.111428,-0.115045,-0.568069,0.087282,-0.104425,-0.568716,-0.277056,1,-0.557753,-0.562500,-0.822785,-0.663317,-1.097561,-1.000000,-0.811585,-0.793481,0.000000,1.000000,0.000000,-0.210877,0.977513,-0.017202,0.999852,0.500000,0.866025,-0.657502,-0.166839,-0.253089,,,-0.581841,,,0.464924,,
2020-01-01 00:15:00,JR055,0.222403,-0.702703,-0.702415,0.000000,0.089713,0.227825,0.350743,0.012469,0.071386,0.350805,-1.353661,0,0.152165,0.437500,0.544304,-1.592965,-0.839024,-1.000000,-0.914861,0.168884,0.000000,1.000000,0.000000,-0.237227,0.971454,-0.017202,0.999852,0.500000,0.866025,-0.043630,-0.074066,-0.658786,,,-0.680601,,,0.030851,,
2020-01-01 00:30:00,DB049,-0.777597,0.000000,-0.347813,0.000000,0.009845,0.432403,-0.826485,0.339152,-0.026995,-0.827074,-0.363636,3,-1.207359,0.437500,0.759494,-0.080402,-1.180488,-1.000000,-0.821349,-0.332241,0.000000,1.000000,0.000000,-0.213375,0.976970,-0.017202,0.999852,0.500000,0.866025,0.317896,0.105781,-0.665710,-0.583297,,-0.532273,-0.532273,,0.164976,0.164976,
2020-01-01 00:30:00,EG931,0.000000,0.297297,-0.586768,0.000000,-0.041314,-0.121245,0.312624,0.433915,-0.199206,0.312835,0.166384,0,-1.523552,-0.062500,-0.265823,-1.713568,-0.048780,-1.000000,-0.790650,-0.637166,0.000000,1.000000,0.000000,-0.205517,0.978654,-0.017202,0.999852,0.500000,0.866025,0.323824,0.158615,-0.910592,-0.253089,,-0.583483,-0.583483,,0.328763,0.328763,
2020-01-01 00:30:00,JR055,0.222403,-0.702703,-0.806917,0.114286,0.095786,0.083333,-0.224010,1.192020,0.218402,-0.223690,0.980237,0,-0.292710,0.687500,0.493671,0.597990,-0.829268,-1.000000,-0.893926,-0.495825,0.000000,1.000000,0.000000,-0.231899,0.972740,-0.017202,0.999852,0.500000,0.866025,-0.104502,-0.026277,-0.702415,-0.658786,,-0.722706,-0.722706,,0.076122,0.076122,
2020-01-01 00:45:00,EG931,0.000000,0.297297,-0.593362,0.000000,-0.175929,-0.310086,0.274010,0.364090,-0.140603,0.274040,0.261999,0,-1.519436,0.187500,-0.088608,-0.874372,-0.629268,-1.000000,-0.769715,-0.491587,0.000000,1.000000,0.000000,-0.200150,0.979765,-0.017202,0.999852,0.500000,0.866025,-0.006595,-0.116737,-0.586768,-0.910592,-0.253089,-0.696907,-0.585953,,0.185086,0.268480,
