Timestamp,Station,Latitude,Longitude,TEC,foF2,hmF2,scaleF2,B0,B1,zhalfNm,yF2,FF,QF,F10.7,Kp,Ap,Dst,SSN,DayOfYear,LocalTime,TopsideTEC
2020-01-01 00:00:00,DB049,-17.800000,25.900000,21.961600,1.500000,240.120000,80.440000,113.030000,3.282000,197.100000,67.820000,1.012800,0,98.210000,1.500000,10.700000,3.200000,19.900000,1,1.726700,8.099700
2020-01-01 00:00:00,EG931,30.100000,31.400000,25.872200,1.500000,244.580000,109.470000,118.670000,2.850000,226.170000,71.200000,0.977000,3,91.740000,1.500000,12.100000,-10.900000,8.100000,1,2.093300,7.354800
2020-01-01 00:00:00,JR055,43.800000,12.900000,21.067600,1.547000,290.000000,102.860000,84.690000,2.790000,279.730000,50.810000,0.908000,0,89.310000,1.400000,12.100000,-0.000000,10.800000,1,0.860000,7.593600
2020-01-01 00:15:00,DB049,-17.800000,25.900000,20.985600,1.509000,257.500000,95.330000,81.940000,3.111000,236.290000,49.170000,0.995000,0,99.530000,0.700000,10.900000,-12.300000,7.800000,1,1.976700,6.842400
2020-01-01 00:15:00,EG931,30.100000,31.400000,18.085500,1.500000,237.560000,94.470000,88.110000,3.028000,208.280000,52.860000,0.960300,1,104.980000,0.600000,6.000000,-23.300000,5.400000,1,2.343300,4.073600
2020-01-01 00:15:00,JR055,43.800000,12.900000,20.550900,1.500000,259.420000,108.850000,106.670000,2.998000,227.330000,64.000000,0.817300,0,117.810000,2.200000,16.800000,-41.800000,10.700000,1,1.110000,10.455500
2020-01-01 00:30:00,DB049,-17.800000,25.900000,24.750400,1.500000,250.740000,117.430000,82.890000,3.129000,216.670000,49.730000,0.948800,3,93.240000,2.200000,18.500000,-11.700000,3.700000,1,2.226700,7.132300
2020-01-01 00:30:00,EG931,30.100000,31.400000,21.920500,1.500000,245.180000,94.210000,105.900000,3.167000,198.010000,63.540000,1.019200,0,87.525600,1.400000,10.400000,-44.200000,26.900000,1,2.593300,5.110200
2020-01-01 00:30:00,JR055,43.800000,12.900000,19.313300,1.512000,260.080000,102.790000,95.060000,3.471000,243.260000,57.040000,1.127300,0,109.770000,2.600000,16.400000,1.800000,10.900000,1,1.360000,6.047500
2020-01-01 00:45:00,EG931,30.100000,31.400000,21.842400,1.500000,230.550000,86.290000,105.120000,3.139000,204.360000,63.070000,1.031900,0,87.600000,1.800000,11.800000,-27.500000,15.000000,1,2.843300,6.075600
2020-01-01 00:45:00,JR055,43.800000,12.900000,19.928500,1.597000,256.390000,90.100000,119.330000,3.042000,223.430000,71.600000,1.077400,0,101.520000,1.100000,11.000000,6.100000,0.000000,1,1.610000,7.224200
2020-01-01 00:45:00,DB049,-17.800000,25.900000,23.491100,1.500000,251.190000,102.330000,116.010000,2.800000,222.360000,69.610000,1.021900,0,110.090000,1.800000,15.200000,-9.000000,15.000000,1,2.476700,8.584000
