DATE,Time,foF2,hmF2,yF2,B0,B1,TEC,FF,QF,Datetime,Kp,SSN,Dst,Ap,F10.7,Station_Name,Latitude,Longitude,Country,Timezone,Geomagnetic_Latitude,Geomagnetic_Longitude,DayOfYear,Month,Week,Hour,Minute,LocalTime,Season,Sin(DayOfYear),Cos(DayOfYear),Sin(LocalTime),Cos(LocalTime),StormFlag,QuietFlag,WeekendFlag
2024-04-01,00:00:00.000Z,14.4,310.9,66.4,95.2,1.00,44.6,0.05,,2024-04-01 00:00:00,1.7,31.0,-4.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,0,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,1,0
2024-04-01,00:07:30.000Z,14.725,317.1,76.7,105.4,1.01,52.9,0.1,,2024-04-01 00:07:30,1.7,31.0,-4.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,7,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,1,0
2024-04-01,00:15:00.000Z,14.5,307.7,64.9,93.2,1.00,44.4,0.05,,2024-04-01 00:15:00,1.7,31.0,-4.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,15,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,1,0
2024-04-01,00:22:30.000Z,14.725,308.9,66.0,94.3,1.01,46.1,0.08,,2024-04-01 00:22:30,1.7,31.0,-4.25,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,22,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,0,0
2024-04-01,00:30:00.000Z,14.85,305.6,65.1,89.9,1.23,46.7,0.13,,2024-04-01 00:30:00,1.7,31.0,-4.5,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,30,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,0,0
2024-04-01,00:37:30.000Z,14.9,305.8,63.3,90.5,1.01,45.4,0.08,,2024-04-01 00:37:30,1.7,31.0,-4.75,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,37,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,0,0
2024-04-01,00:45:00.000Z,14.95,305.1,66.3,95.6,1.01,47.8,0.08,,2024-04-01 00:45:00,1.7,31.0,-5.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,45,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,1,0
2024-04-01,00:52:30.000Z,14.85,302.4,62.4,87.3,1.01,44.1,0.05,,2024-04-01 00:52:30,1.7,31.0,-5.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,0,52,12,2,0.9999300657962057,-0.011826390691832589,1.2246467991473532e-16,-1.0,0,1,0
2024-04-01,01:00:00.000Z,15.125,302.4,63.4,91.6,1.00,46.6,0.08,,2024-04-01 01:00:00,1.7,31.0,-5.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,1,0,13,2,0.9999300657962057,-0.011826390691832589,-0.2588190451025208,-0.9659258262890683,0,1,0
2024-04-01,01:07:30.000Z,15.175,300.3,60.1,84.8,1.01,44.1,0.05,,2024-04-01 01:07:30,1.7,31.0,-5.0,6.0,120.3,Lualualei,21.4,191.9,USA,Pacific/Honolulu,21.2,267.1,92,4,14.0,1,7,13,2,0.9999300657962057,-0.011826390691832589,-0.2588190451025208,-0.9659258262890683,0,1,0
